config,run_name,model,mae,rmse,mape_percent,metrics_path
configs\fair_budget\pemsd7_agstt_long_budget_fair.yaml,pemsd7_agstt_long_budget_fair,agstt,3.182805299758911,6.218234539031982,8.260438919067383,outputs\fair_budget\pemsd7_agstt_long_budget_fair_metrics.json
configs\fair_budget\pemsd7_dcrnn_long_budget_fair.yaml,pemsd7_dcrnn_long_budget_fair,dcrnn,3.254282236099243,6.464784622192383,8.306073188781738,outputs\fair_budget\pemsd7_dcrnn_long_budget_fair_metrics.json
configs\fair_budget\pemsd7_lstm_long_budget_fair.yaml,pemsd7_lstm_long_budget_fair,lstm,3.3994827270507812,6.911734104156494,8.654446601867676,outputs\fair_budget\pemsd7_lstm_long_budget_fair_metrics.json
configs\fair_budget\pemsd7_stgcn_long_budget_fair.yaml,pemsd7_stgcn_long_budget_fair,stgcn,3.465765953063965,6.651669502258301,9.029845237731934,outputs\fair_budget\pemsd7_stgcn_long_budget_fair_metrics.json
configs\fair_budget\pemsd7_linear_long_budget_fair.yaml,pemsd7_linear_long_budget_fair,linear,3.661048412322998,7.25381326675415,9.40962028503418,outputs\fair_budget\pemsd7_linear_long_budget_fair_metrics.json
configs\fair_budget\metr_la_agstt_long_budget_fair.yaml,metr_la_agstt_long_budget_fair,agstt,3.791370391845703,8.289145469665527,9.980010032653809,outputs\fair_budget\metr_la_agstt_long_budget_fair_metrics.json
configs\fair_budget\metr_la_stgcn_long_budget_fair.yaml,metr_la_stgcn_long_budget_fair,stgcn,3.8832435607910156,8.318571090698242,10.245216369628906,outputs\fair_budget\metr_la_stgcn_long_budget_fair_metrics.json
configs\fair_budget\metr_la_dcrnn_long_budget_fair.yaml,metr_la_dcrnn_long_budget_fair,dcrnn,3.892084836959839,8.329840660095215,9.96667766571045,outputs\fair_budget\metr_la_dcrnn_long_budget_fair_metrics.json
configs\fair_budget\metr_la_lstm_long_budget_fair.yaml,metr_la_lstm_long_budget_fair,lstm,3.9286510944366455,8.481534957885742,10.115926742553711,outputs\fair_budget\metr_la_lstm_long_budget_fair_metrics.json
configs\fair_budget\metr_la_linear_long_budget_fair.yaml,metr_la_linear_long_budget_fair,linear,4.2371039390563965,8.861954689025879,10.486452102661133,outputs\fair_budget\metr_la_linear_long_budget_fair_metrics.json
